Song UUID,Thumbnail,Width,Height,Video ID,Issues
f59f9afa-ad61-42ea-a17a-daab79567a26,present,226,226,g2ifMNboL9Q,low-res
870c3959-2d7b-431e-893b-710a804e4b1b,present,226,226,qOl7m52TQk8,low-res
e95b59b7-ec50-4158-bbc1-a2a0c32184cc,present,1280,720,V2paBoVofDk,
4099eb30-6779-4d86-9dfe-914dd27e457f,present,120,90,LD24ridA9Zs,low-res
6b1351b9-73a0-4b61-a30f-075b7a2ea9c8,present,226,226,_fTWmUlTEqE,low-res
76170b28-f1d9-4f51-9621-e3dee8fbf2b9,present,226,226,3522eBd77PQ,low-res
d4f2046d-8eed-4594-815a-ddc06ea194bc,present,120,90,g-1Gb2rxzlk,low-res
e90ef08c-50d4-43bc-b75d-b04f38c2bce6,present,226,226,toyxs-L11vc,low-res
58d8e85f-243f-485a-8804-b11a32f37e66,present,120,90,F_8liFfmtig,low-res
60e385b1-f5b4-4ad9-bdf3-882d89373f01,present,226,226,Bf01riuiJWA,low-res
c1b03a40-7954-4dce-b235-8067d3a65491,present,1280,720,RxPYT-qVyFg,
6f8c635c-e501-42b5-a246-3af5598d0b5e,present,226,226,W2dxAaDd_uA,low-res
1cf18cde-e6d0-451d-8fba-0cb6b7632dcf,present,1280,720,BdTiVcxH33Q,
7cc712cc-ecb4-41c3-b262-3ccdd65892e3,present,120,90,gRfTdjmTFVM,low-res
d33459c7-181d-4511-9a0d-ee7f57357b1f,present,226,226,AHkW8k-MQ6M,low-res
e7e267ea-7075-4b54-91e7-be6af0dafcf9,present,120,90,P7YyCRxC2io,low-res
d16d503e-197a-48f2-9de7-a20bc0b72b74,present,1280,720,hykMfx1OP8Y,
fecbbbd5-20af-419c-913e-d946a02084f6,present,120,90,HH7WXlf9WLk,low-res
129d43e5-177f-42fa-91d9-6943d12828d8,missing,,,,missing thumbnail; missing videoId
427b8844-ec49-4363-8d56-690e31f5aec5,present,120,90,iw-f5ehOvZk,low-res
a35aca6d-1a86-4744-84d9-1290b79ced0b,present,226,226,BauxVSmSD_c,low-res
7a7ad06b-0aac-4861-b6be-e6718295dc27,present,120,90,k3ZeUL4fRyk,low-res
5eb1a67a-a611-42bf-89dc-90af23fe5e9f,present,1280,720,YV2HDb6TD0c,
18b39f58-1133-4aef-ad4d-a7c1302ab77d,present,226,226,fxyjfnZZUEQ,low-res
f15ebd92-3b0d-46c4-bee9-e6552f6bd07b,present,1280,720,REYF3QFVHVc,
e007d82a-5a0d-485a-bd4a-0f3e0c03582c,present,226,226,3plfj79CrWc,low-res
d107997a-2ae5-43c8-8960-66a1739e8ea9,present,226,226,3cdqQ2BdgOA,low-res
243f872b-b29f-4742-ba2e-10f1a92eefac,present,226,226,VKacbq-KG6g,low-res
417b1819-86a3-48e3-b632-51ecca7aeac7,present,120,90,cqqPDY5aTZw,low-res
9bdfa6f4-8947-4e7e-beb2-46c3a8410aee,present,120,90,55ed_G8_Rzs,low-res
29257f48-8a26-44b7-ae4a-241540f0b0e9,present,120,90,4TUjlAgfvyg,low-res
e6797693-532b-4fe7-8658-5550b01a54f7,present,120,90,tH6N2PWPZhE,low-res
ac9647c8-bc82-48f2-aee7-4dc5b0561848,present,168,94,pDYSL60NtVE,low-res
0d185f61-e1d1-4b08-9a31-d362323cab16,present,226,226,IRlpjWdb16I,low-res
d28f0686-4df6-4063-91bc-30def758f776,present,226,226,rKSvDxkz1Zc,low-res
5ef94355-c6e7-4abb-b282-09546e621ef8,present,120,90,trJeelxl4mo,low-res
a2d47db9-d2c9-42e7-b736-406d9fe13f91,present,168,94,KzC-YtYCQms,low-res
98ea3388-c89b-42af-99d6-617ca29b6a81,present,226,226,dJhJ7YdojdU,low-res
6615dd59-cc34-4929-91fa-1729e826c0e2,present,1280,720,SxgHjhc0t3Y,
70e34575-0d34-446c-a346-360479280b49,present,120,90,MD9DBV--xUM,low-res
d0e24c58-7ae7-42d5-b0af-ed975abc1303,present,120,90,PTFwQP86BRs,low-res
309b2a64-3b6e-424c-a3a7-e2e987010ffc,present,120,90,Qhi3l2ojBxc,low-res
6411e2a7-7d5f-400b-8bda-171eb5a152b0,present,120,90,dCrr1zu2wcA,low-res
4c7f1ede-10e5-430e-8a85-6a3f33f089b5,present,226,226,kMzrseTZia0,low-res
0f8c7423-efd2-4feb-9baa-a8cf0b2fcd3f,present,120,90,VbPQizhkvdc,low-res
693b6132-1a36-4d76-830d-5e4aa9c58a73,present,120,90,UEW8riKU_tE,low-res
312ad97a-535a-4580-971e-b0d73e62fcee,present,120,90,1xD2ItImFEU,low-res
f3f4c852-cb65-4ee3-a48a-427b821cc9e7,present,168,94,ummkVIB_YzI,low-res
37be5867-12c1-4714-a77e-9aa2a3e2fce4,present,120,90,gPDcwjJ8pLg,low-res
2a79547c-2b18-4dfc-9e88-e4591b8f5142,present,1280,720,6sU_Ra-u5J0,
2dc22b14-7d03-4898-8509-1ee4d945d725,present,120,90,l5t9IXtTr6g,low-res
46a0f205-e4a5-45eb-882f-3fa092ac2c3d,present,1280,720,fsTzKCTuajQ,
a003e638-95eb-4400-a035-31f181ed3fc2,present,120,90,C9aCz9yeUGE,low-res
256c48f8-8e63-4c5e-9cf0-fb1cb012e407,present,120,90,pJwt9qJb6Sw,low-res
d83670a0-faaa-4af0-9776-8992f65bbe41,present,120,90,EqUHnojFH5Y,low-res
3ace2c39-9f34-4ca8-9526-d6b1dc10d2ff,present,1280,720,aJ8NpjyycQM,
328a2091-db5e-4dfe-b516-6cbcadde8678,present,120,90,0BUCaaCSXHI,low-res
38ad556b-b732-478c-90dd-4ef76183e7bc,present,120,90,_bl-Izuc68g,low-res
6b9c05e2-1d65-4caf-99f2-e9e0f94b4fe8,present,120,90,BkR-lvlMrPY,low-res
4c74e405-8b39-46e5-84d7-6d2ce2cfec45,present,120,90,vxrf4ZzzrA8,low-res
915f0256-7a23-4548-b81d-23887c317a6b,present,226,226,LhzbNxNAw7Q,low-res
036b44e5-2da4-478b-89eb-bd5542330afa,present,120,90,cNld-AHw-Wg,low-res
7e847f7f-0732-4a13-a203-951a85e4b5d4,present,120,90,H-MQR96m4Yk,low-res
74381d5a-0848-4127-bc3b-b8c528905b5e,present,226,226,rhthQ17UVoM,low-res
7099a36d-690f-403f-a856-c1961f25ba0c,present,1280,720,adgi9o0Adt4,
626f7937-190e-4fcd-9201-c9a5b4d63151,present,120,90,E-9mCAA1YYY,low-res
f44d5a03-9c1b-453a-afd5-5be161ff4c68,present,226,226,HNrHXFgslEs,low-res
26ca9ac8-930c-43ec-9a89-3183656896b5,present,226,226,rSjPAwsEXMU,low-res
2c9420be-2278-4d7d-9a2e-d46fbce547e0,present,120,90,ebzEEEdjHj0,low-res
49f393c7-4017-4430-89a7-98403a9b0b8a,present,120,90,X3F3swXZ96g,low-res
a876a8c7-94de-4805-90ba-0ddad958b5dd,present,1280,720,Qrh7Pd6Ei9M,
cd49a136-71c0-46f0-a23e-c1b290735064,present,226,226,0UDHIWKsOqM,low-res
0c498ab1-7944-482b-a9b2-53314964645c,present,1280,720,xdOlcsLpJeQ,
65e29237-3006-462b-9fc7-4b9514df2262,present,120,90,8g6ZVDyarEM,low-res
6880585e-12b3-41d8-b55d-80f75506c157,present,1280,720,ee2vJmxR5ck,
6a2cdf4f-bdb2-4441-b85e-2c102ec9bf31,present,1280,720,DHEOF_rcND8,
4dee78fd-35f4-4608-b49f-80f2342c5b2b,present,120,90,0bNy7XO-SCI,low-res
3a3e1199-094c-4a4c-9075-016a8a97819d,missing,,,,missing thumbnail; missing videoId
166fb2c1-e9b7-4ce8-bf54-b59469447390,present,1280,720,Man4Xw8Xypo,
9d4a13c0-2185-422b-baf8-aa6ef4cc2ced,present,226,226,XX4EpkR-Sp4,low-res
971f81fa-2361-4234-b5c2-1bf95694b207,present,1280,720,lT3UMz39VsE,
c39ecf25-db43-4349-8fb1-80407608a830,present,1280,720,5N4afR_C3I4,
2ace822c-1061-4ba0-ba6b-53a176cc9b66,present,1280,720,iWG6apzIWAk,
5c34fa61-5a56-49c6-bf9e-a5eb05d1bb47,present,226,226,BO-iKVlPz8I,low-res
fc08381c-61b4-4dbd-9807-8638a1872cc7,present,120,90,sq-v18O93lE,low-res
3fc74fb2-de68-45ef-9a96-a116e68586b3,present,120,90,nzyNWyZhUS0,low-res
1a88857b-2411-4fda-b5b3-f53a063146f1,present,168,94,M1_CLW-NNwc,low-res
1ddd6fdf-f964-4415-8ebc-e305a0ff5d9d,present,120,90,8inJtTG_DuU,low-res
f660eb4e-aa58-4d30-ad50-873f52857db2,present,120,90,Sm8hk1mceNA,low-res
501fb451-774c-43f4-89b7-1ddfeed424b0,present,120,90,RnwzffaFWGw,low-res
21f3a120-cf5b-4fab-9bcc-9f7aefe3f176,present,120,90,M7Dk_Ls9UT4,low-res
271b1d0e-08f0-4a1f-ad1f-93bfabbdcb9e,present,120,90,RW6lxmauJxE,low-res
f8de44d6-22e7-4740-856f-d1b6293d4856,present,120,90,Oa-ae6_okmg,low-res
efa07552-1b30-4ada-b7fd-4b91dce5d3be,present,120,90,lrEP3RPgEao,low-res
6f3337db-b91d-4d5f-9a2e-8f5b7c8763b6,present,120,90,8fTcM3dMxS8,low-res
bdd7d23b-c3cc-4987-af40-0bf80d1ef7a8,present,120,90,OrK5PKQS0Fg,low-res
76eff2f1-58a3-434d-8738-868670f729e8,present,1280,720,TYrjzbu-Ois,
cfb2ae90-3deb-48c4-aa6b-92da7c4fef99,present,1280,720,iI4_u68oD2I,
e7a410d8-6c52-4f56-a083-f8c4860e3523,present,120,90,GcUHA_JR-5w,low-res
67cffddd-4685-410f-83ad-c390a849ed20,present,1280,720,mj2z9d9vOvk,
80af0f87-a776-47bf-87ba-b0ed42a03828,present,1280,720,hwz86XHCMdU,
fbcf3682-bd10-4368-8d7a-696eff42ff51,present,168,94,EPtrQpx9VDw,low-res
1be5cb67-24d3-4993-9ff1-6b50756fb698,present,120,90,jKVnur5DkdI,low-res
692d0300-8f58-4e9b-bad5-05a7751722f3,present,1280,720,hoLxuyV9qz8,
c4711b12-e16b-4b48-bd94-8c8df897a676,present,1280,720,kVoDxjuzTrQ,
574f12cf-1f8b-45b4-8020-54461802dc2c,present,120,90,0QsSsctZJe4,low-res
581619e5-45e1-433c-b428-2c3c2035611d,present,226,226,oR7SEHVg_Fc,low-res
d75a6131-babf-47ae-9f0d-465f1012340f,present,120,90,F9YNtJ07bTQ,low-res
66696d8d-fcba-4262-93b4-c6d5661a75e8,present,120,90,G3pUFmkKdgc,low-res
03e2ad67-4f6e-4d80-b450-a7f8e948f3a8,present,226,226,GcD6XgR3kJk,low-res
21e92be7-c19d-4501-99e5-128c1164a450,present,1280,720,UR_hojnhWwc,
8c361209-a0bd-4e14-98c5-109a3a1b1029,present,168,94,ummkVIB_YzI,low-res
a4880f8e-12e6-4af4-ae06-f2acfeb82e20,present,120,90,6Ejga4kJUts,low-res
90479285-c108-4ff3-a794-076fd67db1e1,present,226,226,q_jkw1FWQoU,low-res
df91dfc7-ee0e-494d-b9af-04145d5b9232,present,1280,720,KtsVN__gPvQ,
3f1f63ce-5a10-4022-b834-cab729e404b5,missing,,,,missing thumbnail; missing videoId
de316b2f-c86b-4d4d-97fc-14a4c704b990,present,120,90,AEg3ebsHYjQ,low-res
985ed903-3767-4ddc-ad0d-1b9532ab340a,present,120,90,8FJUD0rEPWM,low-res
284abef7-6dd2-4ba4-b73e-0ba5c0ed632c,present,120,90,WC0-fNkZ-NU,low-res
10a45b30-d33c-4b5e-af94-c44e8c0ccfd6,present,120,90,QwVjTlTdIDQ,low-res
5753e448-641e-4c3c-a4a2-d705dca2c8e7,present,226,226,gmLhye0fM6w,low-res
672f7fa0-e131-40e8-9a16-e6cf28009bb6,present,226,226,rOqNUSMw1jE,low-res
434b1b8a-3e9e-4e85-9fd0-0187da5410b0,present,226,226,G2XXT-MDcG4,low-res
6e97dc6a-436f-42d4-9bb0-e1e15bfebde3,present,226,226,tT_si2UrpBM,low-res
2417bb66-bd03-4a67-80bd-d54730b1da83,present,226,226,QHTyLOsVH74,low-res
e876675d-8474-4b02-920e-3f8badcf20ed,present,120,90,6zyX9IMK4rE,low-res
6eb1e907-a80f-476d-be44-1a1f294d46b8,present,120,90,6InWEdemMsI,low-res
223ddbfa-80c7-4972-aadf-f0bfa949c40e,present,120,90,pQeeVHJiyzo,low-res
80606b50-c1fe-4a84-a07d-37dddd69e48e,present,1280,720,P9CvQYMAGzw,
33a0f8d6-bd41-4fa0-aefa-47b0a5c43b25,present,226,226,U0mxGAjGn00,low-res
39168856-377d-4e6d-b84b-68313fb14d40,present,120,90,8Xo8At6XEqE,low-res
fd08a795-98c1-4a05-862d-84213ddc3bb8,present,226,226,cD_vpLPuqak,low-res
ef2e5334-1854-49e3-a772-e1f80a0d2f74,present,1280,720,1F3OGIFnW1k,
c3ad7ba4-31e0-4bcd-882f-1e3e1b125da5,present,120,90,e0WsTp_SqsU,low-res
88a2231b-7bbf-4e5e-9269-57190ec6243e,present,120,90,x5GuBa4Bbnw,low-res
a42f4d0b-3466-4e99-a81d-1f95cc2e35ec,present,1280,720,ONzuVds6hPE,
8da394a7-28aa-42f9-9230-7f362c15abc4,present,120,90,sG7X_huem_M,low-res
721d558b-1c1d-4460-a8ca-340447389633,present,1280,720,TXc6X0OzXaY,
b63671c4-d8ab-4c8f-add2-889a59c311e4,present,120,90,lf7xORUJskc,low-res
b3abb0b3-0ebf-4073-b1c5-1b32236f01af,present,120,90,4XHEPoMNP0I,low-res
b24115e4-79cd-49fa-ac87-37596e900d2c,present,1280,720,hqwieO9A9Kk,
9fb8a627-971f-4ab1-b036-59007153147a,present,120,90,jLXTBbMRxK8,low-res
cd9abb4c-9389-477f-9b6b-0b4065b33a84,present,1280,720,sh7BZf7D5Bw,
5f726c62-ebab-4a9b-8f8b-adea71004f42,present,120,90,1rLa12iOJCI,low-res
fbd86564-1fe6-4153-9fbd-a6101209b209,present,120,90,ulYgw0yhSgg,low-res
14f80eb2-eeb6-44e5-81b8-b9476eaf5003,present,1280,720,hflXLMHNikA,
11f28861-014c-4238-81fa-a3d0b302d16d,present,226,226,ZA7O8f1QwJA,low-res
2d965fbe-993c-4c75-989a-7e69dd84cdad,present,1280,720,DPHqkHLweMY,
faa5f77e-72f7-422e-9e7e-7da2352fd81c,present,120,90,RzeiUemwLq0,low-res
d466d0c3-00c9-4af2-a832-01f4105d7ae4,present,226,226,RoVj6zBAkAM,low-res
c360b76c-659c-4f96-baad-1d3805370b26,present,1280,720,6mB_v1X8T5s,
4bbfd682-837d-47a1-8459-6b2b09bdbf99,present,120,90,ScviRWjzDQU,low-res
35082668-1142-4a8c-97bc-25271eb75c88,present,226,226,aa_vVYZwJh0,low-res
1fc983a9-1043-489c-a868-c1ad3e0665b0,present,226,226,nMRQp-DvDwg,low-res
1875caec-4703-40ef-8277-17d35ffd27d6,present,120,90,Xri6MWsNDJQ,low-res
b2d39424-8950-4e0a-bb84-74717caa6423,present,226,226,Wa9XNjUI95A,low-res
b8fe5347-13f6-40b4-a0f3-fcdd7315e89c,present,120,90,QX_U930Hhpw,low-res
6d7078e3-b1a1-4efd-a467-aaded08e4ee2,present,120,90,yHihjdbLVSU,low-res
5d7852e1-fe91-45c7-a179-23852bc0051d,present,120,90,A7lYBcB441k,low-res
6dec7fcb-7adb-4f17-b3b3-47f1a2ded7b9,present,120,90,GGKg2-L0CBA,low-res
45a6dfe1-852e-4501-a26a-3b1e9edc2124,present,226,226,4NWoAVOQhPI,low-res
261e44f9-82d4-4031-b66c-e39d92a20dff,present,226,226,ABQjT6gDKu0,low-res
5bd25e1a-c9c3-4982-b45e-1eb3db057d92,present,1280,720,Ajbmol_c6sU,
3f32b592-5c2e-485d-bb6b-c3735b17dd03,present,226,226,enM5rH6-uMA,low-res
6e17c63e-6e9c-456b-9fa1-b569be272909,present,1280,720,X7bHe--mp1g,
1e03196b-c10f-4f87-aaef-81ae62ee6b5c,present,1280,720,mUcQhAHlyXU,
